# Steple pair pool
# Generated: 2026-06-06
# Word length: 4   Moves: 4–5   Sample: 500,000
# Pairs: 19752 (easy: 13521, medium: 6231, hard: 0)
# Format: START,TARGET  # score=N tier=X moves=N avg=N min=N conc=N
# ── Easy (score 1–6, moves 4) ───────────────────────────
MALE,FEET  # score=5 tier=easy moves=4 avg=14.6 min=9 conc=0.47
MALL,DIME  # score=5 tier=easy moves=4 avg=19 min=12 conc=0.49
MALL,HEAD  # score=5 tier=easy moves=4 avg=18.6 min=12 conc=0.49
MALL,LARD  # score=5 tier=easy moves=4 avg=18.2 min=11 conc=0.48
MALL,DUST  # score=5 tier=easy moves=4 avg=16.2 min=12 conc=0.47
MALL,RUST  # score=5 tier=easy moves=4 avg=16 min=12 conc=0.48
MALL,BEND  # score=5 tier=easy moves=4 avg=17.6 min=11 conc=0.44
MALL,LIKE  # score=5 tier=easy moves=4 avg=20.6 min=17 conc=0.47
MALL,LINE  # score=5 tier=easy moves=4 avg=24.8 min=20 conc=0.46
MALL,HOSE  # score=5 tier=easy moves=4 avg=20.6 min=13 conc=0.47
MALL,DINE  # score=5 tier=easy moves=4 avg=24.2 min=20 conc=0.47
MALT,HEAR  # score=5 tier=easy moves=4 avg=14.4 min=12 conc=0.49
MALT,RACK  # score=5 tier=easy moves=4 avg=16.8 min=12 conc=0.48
MALT,HOPE  # score=5 tier=easy moves=4 avg=17.2 min=12 conc=0.4
MALT,HEAD  # score=5 tier=easy moves=4 avg=13 min=12 conc=0.44
MALT,BEAM  # score=5 tier=easy moves=4 avg=14 min=11 conc=0.42
MALT,STAT  # score=5 tier=easy moves=4 avg=15 min=12 conc=0.43
MALT,BEAD  # score=5 tier=easy moves=4 avg=14.4 min=12 conc=0.41
MALT,HOSE  # score=5 tier=easy moves=4 avg=14 min=12 conc=0.44
MALT,LEAD  # score=5 tier=easy moves=4 avg=13.2 min=11 conc=0.44
MALT,BARB  # score=5 tier=easy moves=4 avg=14.6 min=10 conc=0.52
MALT,HOWE  # score=5 tier=easy moves=4 avg=16.4 min=12 conc=0.42
MALT,HOME  # score=5 tier=easy moves=4 avg=17.4 min=12 conc=0.39
MANA,COWS  # score=5 tier=easy moves=4 avg=21.6 min=10 conc=0.43
MANA,BIAS  # score=5 tier=easy moves=4 avg=20 min=10 conc=0.45
MANA,REGS  # score=5 tier=easy moves=4 avg=21.4 min=10 conc=0.46
MANA,BITS  # score=5 tier=easy moves=4 avg=22.6 min=10 conc=0.45
MANS,PILE  # score=5 tier=easy moves=4 avg=24.8 min=18 conc=0.43
MANS,BOTH  # score=5 tier=easy moves=4 avg=24.4 min=10 conc=0.41
MANS,BROS  # score=5 tier=easy moves=4 avg=19 min=8 conc=0.47
MANS,SITE  # score=5 tier=easy moves=4 avg=23.6 min=19 conc=0.47
MANS,RAID  # score=5 tier=easy moves=4 avg=18.6 min=10 conc=0.41
MANS,BYTE  # score=5 tier=easy moves=4 avg=23 min=7 conc=0.43
MANS,COIN  # score=5 tier=easy moves=4 avg=18 min=8 conc=0.43
MANS,CORE  # score=5 tier=easy moves=4 avg=25.2 min=20 conc=0.41
MANS,LIST  # score=5 tier=easy moves=4 avg=20.2 min=15 conc=0.49
MANS,NEST  # score=5 tier=easy moves=4 avg=17.2 min=9 conc=0.49
MANY,SUBS  # score=5 tier=easy moves=4 avg=20 min=8 conc=0.43
MANY,PETS  # score=5 tier=easy moves=4 avg=21.8 min=8 conc=0.43
MANY,FIGS  # score=5 tier=easy moves=4 avg=20.2 min=8 conc=0.48
MANY,PICS  # score=5 tier=easy moves=4 avg=20.6 min=8 conc=0.45
MANY,PIGS  # score=5 tier=easy moves=4 avg=21.6 min=8 conc=0.46
MANY,BOYS  # score=5 tier=easy moves=4 avg=21.6 min=8 conc=0.45
MANY,PIES  # score=5 tier=easy moves=4 avg=21.2 min=8 conc=0.43
MANY,REGS  # score=5 tier=easy moves=4 avg=21 min=8 conc=0.48
MANY,BIAS  # score=5 tier=easy moves=4 avg=19.6 min=8 conc=0.47
MARE,BOTH  # score=5 tier=easy moves=4 avg=20.4 min=10 conc=0.42
MARE,NESS  # score=5 tier=easy moves=4 avg=20.2 min=9 conc=0.42
MARE,COMB  # score=5 tier=easy moves=4 avg=23.6 min=7 conc=0.38
MARE,REGS  # score=5 tier=easy moves=4 avg=21.8 min=18 conc=0.49
MARE,COMP  # score=5 tier=easy moves=4 avg=23.8 min=8 conc=0.37
MARE,BUCK  # score=5 tier=easy moves=4 avg=21.8 min=16 conc=0.47
MARE,RAND  # score=5 tier=easy moves=4 avg=22.2 min=13 conc=0.37
MARE,PUNT  # score=5 tier=easy moves=4 avg=21 min=13 conc=0.39
MARE,DIET  # score=5 tier=easy moves=4 avg=17.8 min=8 conc=0.38
MARE,LESS  # score=5 tier=easy moves=4 avg=23.6 min=16 conc=0.44
MARE,HASH  # score=5 tier=easy moves=4 avg=21.2 min=15 conc=0.49
MARE,SOLD  # score=5 tier=easy moves=4 avg=23.2 min=15 conc=0.46
MARE,TANG  # score=5 tier=easy moves=4 avg=22.8 min=16 conc=0.49
MARE,HANG  # score=5 tier=easy moves=4 avg=22.8 min=16 conc=0.49
MARE,LONG  # score=5 tier=easy moves=4 avg=23 min=11 conc=0.47
MARE,WISH  # score=5 tier=easy moves=4 avg=20.4 min=10 conc=0.4
MARE,LIPS  # score=5 tier=easy moves=4 avg=25.2 min=18 conc=0.46
MARE,PINK  # score=5 tier=easy moves=4 avg=24 min=19 conc=0.46
MARE,GOLD  # score=5 tier=easy moves=4 avg=22.8 min=14 conc=0.44
MARE,BOTS  # score=5 tier=easy moves=4 avg=27.6 min=24 conc=0.42
MARE,CENT  # score=5 tier=easy moves=4 avg=21.8 min=9 conc=0.48
MARE,LAID  # score=5 tier=easy moves=4 avg=20.8 min=12 conc=0.44
MARE,BITS  # score=5 tier=easy moves=4 avg=24.6 min=21 conc=0.43
MARE,FOLD  # score=5 tier=easy moves=4 avg=20.2 min=12 conc=0.48
MARK,SOME  # score=5 tier=easy moves=4 avg=22.8 min=14 conc=0.45
MARK,PUNT  # score=5 tier=easy moves=4 avg=17 min=13 conc=0.42
MARK,RUGS  # score=5 tier=easy moves=4 avg=23.8 min=19 conc=0.48
MARK,LEST  # score=5 tier=easy moves=4 avg=17.6 min=10 conc=0.49
MARK,NESS  # score=5 tier=easy moves=4 avg=14.8 min=9 conc=0.43
MARK,ROPE  # score=5 tier=easy moves=4 avg=20.4 min=18 conc=0.46
MARK,DISH  # score=5 tier=easy moves=4 avg=12.4 min=7 conc=0.41
MARK,NODE  # score=5 tier=easy moves=4 avg=21 min=14 conc=0.42
MARK,BOYS  # score=5 tier=easy moves=4 avg=23.4 min=19 conc=0.45
MARK,DIET  # score=5 tier=easy moves=4 avg=12.6 min=8 conc=0.4
MARK,DICE  # score=5 tier=easy moves=4 avg=16.8 min=10 conc=0.44
MARK,HUTS  # score=5 tier=easy moves=4 avg=24.8 min=19 conc=0.49
MARK,PICS  # score=5 tier=easy moves=4 avg=17.6 min=13 conc=0.49
MARK,RANT  # score=5 tier=easy moves=4 avg=16.6 min=12 conc=0.43
MARS,CORY  # score=5 tier=easy moves=4 avg=21.6 min=14 conc=0.4
MARS,WIPE  # score=5 tier=easy moves=4 avg=23.2 min=12 conc=0.44
MARS,BUCK  # score=5 tier=easy moves=4 avg=22.4 min=16 conc=0.48
MARS,BECK  # score=5 tier=easy moves=4 avg=21.6 min=12 conc=0.48
MARS,NAME  # score=5 tier=easy moves=4 avg=23.2 min=14 conc=0.48
MARS,COME  # score=5 tier=easy moves=4 avg=24.4 min=20 conc=0.41
MARS,WOKE  # score=5 tier=easy moves=4 avg=23.6 min=12 conc=0.47
MARS,NETS  # score=5 tier=easy moves=4 avg=26.2 min=18 conc=0.48
MARS,CONN  # score=5 tier=easy moves=4 avg=22.2 min=8 conc=0.45
MARS,COMP  # score=5 tier=easy moves=4 avg=19.4 min=8 conc=0.45
MARS,COTE  # score=5 tier=easy moves=4 avg=25.4 min=19 conc=0.45
MART,RAMS  # score=5 tier=easy moves=4 avg=22 min=18 conc=0.44
MART,HOLD  # score=5 tier=easy moves=4 avg=17.8 min=15 conc=0.42
MART,HIKE  # score=5 tier=easy moves=4 avg=18 min=13 conc=0.49
MART,NAME  # score=5 tier=easy moves=4 avg=21.8 min=14 conc=0.47
MART,HITS  # score=5 tier=easy moves=4 avg=21.6 min=12 conc=0.48
MART,BRIT  # score=5 tier=easy moves=4 avg=14.6 min=7 conc=0.42
MART,BUNK  # score=5 tier=easy moves=4 avg=18.8 min=18 conc=0.44
MART,DISK  # score=5 tier=easy moves=4 avg=12.4 min=9 conc=0.38
MART,HELD  # score=5 tier=easy moves=4 avg=16.4 min=12 conc=0.46
MART,RIPE  # score=5 tier=easy moves=4 avg=19.6 min=15 conc=0.47
MART,LAME  # score=5 tier=easy moves=4 avg=23.6 min=18 conc=0.41
MART,HEAD  # score=5 tier=easy moves=4 avg=16.2 min=12 conc=0.47
MART,DIED  # score=5 tier=easy moves=4 avg=12.4 min=8 conc=0.44
MART,WIPE  # score=5 tier=easy moves=4 avg=20.2 min=12 conc=0.44
MART,SAME  # score=5 tier=easy moves=4 avg=23.4 min=18 conc=0.41
MASK,LEGS  # score=5 tier=easy moves=4 avg=17.2 min=10 conc=0.45
MASK,FORE  # score=5 tier=easy moves=4 avg=20.8 min=10 conc=0.42
MASK,LENS  # score=5 tier=easy moves=4 avg=18.2 min=10 conc=0.45
MASK,TELE  # score=5 tier=easy moves=4 avg=12.8 min=8 conc=0.4
MASK,TILE  # score=5 tier=easy moves=4 avg=14.8 min=8 conc=0.38
MASS,NEXT  # score=5 tier=easy moves=4 avg=13.6 min=7 conc=0.53
MASS,RANK  # score=5 tier=easy moves=4 avg=20.2 min=13 conc=0.45
MASS,BONE  # score=5 tier=easy moves=4 avg=23.2 min=20 conc=0.44
MASS,DIRT  # score=5 tier=easy moves=4 avg=18.6 min=9 conc=0.43
MASS,LAND  # score=5 tier=easy moves=4 avg=20 min=12 conc=0.4
MASS,CAKE  # score=5 tier=easy moves=4 avg=20.8 min=18 conc=0.45
MASS,HOSE  # score=5 tier=easy moves=4 avg=18.2 min=13 conc=0.49
MASS,BOND  # score=5 tier=easy moves=4 avg=20 min=12 conc=0.38
MASS,FIND  # score=5 tier=easy moves=4 avg=21.8 min=13 conc=0.46
MASS,SITS  # score=5 tier=easy moves=4 avg=24.2 min=21 conc=0.49
MASS,HANK  # score=5 tier=easy moves=4 avg=20.8 min=16 conc=0.43
MAST,LOGS  # score=5 tier=easy moves=4 avg=19 min=16 conc=0.49
MAST,FIND  # score=5 tier=easy moves=4 avg=16.2 min=13 conc=0.44
MAST,PING  # score=5 tier=easy moves=4 avg=17.2 min=13 conc=0.45
MAST,POPE  # score=5 tier=easy moves=4 avg=17.6 min=15 conc=0.48
MAST,COLE  # score=5 tier=easy moves=4 avg=19.6 min=17 conc=0.45
MAST,FELL  # score=5 tier=easy moves=4 avg=14.4 min=9 conc=0.52
MAST,HERE  # score=5 tier=easy moves=4 avg=21.2 min=17 conc=0.44
MAST,FINS  # score=5 tier=easy moves=4 avg=23.4 min=20 conc=0.47
MAST,CONE  # score=5 tier=easy moves=4 avg=20 min=9 conc=0.47
MAST,BULL  # score=5 tier=easy moves=4 avg=18.4 min=12 conc=0.47
MATE,HANK  # score=5 tier=easy moves=4 avg=22.2 min=16 conc=0.42
MATE,LONG  # score=5 tier=easy moves=4 avg=21.8 min=11 conc=0.48
MATE,LARD  # score=5 tier=easy moves=4 avg=23 min=16 conc=0.44
MATE,TILT  # score=5 tier=easy moves=4 avg=20.6 min=12 conc=0.49
MATE,HUNS  # score=5 tier=easy moves=4 avg=23.4 min=19 conc=0.49
MATE,NESS  # score=5 tier=easy moves=4 avg=20.4 min=9 conc=0.45
MATE,MEET  # score=5 tier=easy moves=4 avg=17.8 min=10 conc=0.44
MATE,LEND  # score=5 tier=easy moves=4 avg=20.8 min=12 conc=0.46
MATE,BOYS  # score=5 tier=easy moves=4 avg=26.2 min=20 conc=0.44
MATE,LINN  # score=5 tier=easy moves=4 avg=22.2 min=11 conc=0.47
MATH,HECK  # score=5 tier=easy moves=4 avg=14.4 min=9 conc=0.52
MATH,TYPE  # score=5 tier=easy moves=4 avg=17.2 min=10 conc=0.45
MATH,WENT  # score=5 tier=easy moves=4 avg=14.4 min=8 conc=0.46
MATH,PECK  # score=5 tier=easy moves=4 avg=15.8 min=9 conc=0.47
MATH,FARM  # score=5 tier=easy moves=4 avg=19.8 min=10 conc=0.46
MATH,MAIL  # score=5 tier=easy moves=4 avg=21.6 min=15 conc=0.48
MATH,DARN  # score=5 tier=easy moves=4 avg=19.6 min=13 conc=0.48
MATS,BONE  # score=5 tier=easy moves=4 avg=27 min=20 conc=0.45
MATS,BEEN  # score=5 tier=easy moves=4 avg=24.6 min=12 conc=0.48
MATT,TELE  # score=5 tier=easy moves=4 avg=17 min=9 conc=0.39
MATT,FEET  # score=5 tier=easy moves=4 avg=11.8 min=9 conc=0.45
MATT,LANG  # score=5 tier=easy moves=4 avg=21 min=12 conc=0.46
MATT,LONE  # score=5 tier=easy moves=4 avg=22 min=12 conc=0.42
MATT,HERE  # score=5 tier=easy moves=4 avg=18.6 min=12 conc=0.39
MATT,LARD  # score=5 tier=easy moves=4 avg=15.6 min=8 conc=0.47
MATT,CAMP  # score=5 tier=easy moves=4 avg=14.8 min=11 conc=0.51
MATT,BULL  # score=5 tier=easy moves=4 avg=16.6 min=12 conc=0.43
MATT,CENT  # score=5 tier=easy moves=4 avg=11.6 min=8 conc=0.52
MEAD,CORD  # score=5 tier=easy moves=4 avg=12.2 min=10 conc=0.42
MEAD,HOLE  # score=5 tier=easy moves=4 avg=15.8 min=11 conc=0.42
MEAD,GRAY  # score=5 tier=easy moves=4 avg=11.6 min=11 conc=0.48
MEAD,HALL  # score=5 tier=easy moves=4 avg=15.6 min=11 conc=0.44
MEAD,BIRD  # score=5 tier=easy moves=4 avg=12.6 min=8 conc=0.45
MEAD,BROS  # score=5 tier=easy moves=4 avg=11.4 min=8 conc=0.46
MEAD,HULL  # score=5 tier=easy moves=4 avg=14.4 min=11 conc=0.47
MEAD,BANG  # score=5 tier=easy moves=4 avg=15.4 min=11 conc=0.47
MEAD,BINS  # score=5 tier=easy moves=4 avg=16.4 min=11 conc=0.49
MEAD,HOLY  # score=5 tier=easy moves=4 avg=13 min=11 conc=0.47
MEAD,HART  # score=5 tier=easy moves=4 avg=14.8 min=11 conc=0.47
MEAL,BOND  # score=5 tier=easy moves=4 avg=14 min=11 conc=0.49
MEAN,HEMP  # score=5 tier=easy moves=4 avg=10.4 min=7 conc=0.51
MEAN,BIND  # score=5 tier=easy moves=4 avg=14 min=11 conc=0.5
MEAN,HERS  # score=5 tier=easy moves=4 avg=11.8 min=11 conc=0.53
MEAN,BOLT  # score=5 tier=easy moves=4 avg=15.4 min=11 conc=0.43
MEAN,SCAM  # score=5 tier=easy moves=4 avg=12 min=11 conc=0.51
MEAN,DYER  # score=5 tier=easy moves=4 avg=12.2 min=7 conc=0.57
MEAT,HARD  # score=5 tier=easy moves=4 avg=13.8 min=12 conc=0.51
MEAT,HERE  # score=5 tier=easy moves=4 avg=13.6 min=12 conc=0.49
MEAT,LOUD  # score=5 tier=easy moves=4 avg=11.4 min=7 conc=0.45
MEAT,FULL  # score=5 tier=easy moves=4 avg=13.2 min=9 conc=0.59
MEAT,TALE  # score=5 tier=easy moves=4 avg=18.2 min=12 conc=0.43
MEAT,GALE  # score=5 tier=easy moves=4 avg=17.2 min=12 conc=0.45
MEAT,BALL  # score=5 tier=easy moves=4 avg=16.8 min=13 conc=0.49
MEAT,BOLD  # score=5 tier=easy moves=4 avg=15.8 min=13 conc=0.43
MEAT,WONT  # score=5 tier=easy moves=4 avg=16.6 min=7 conc=0.46
MEET,LOAD  # score=5 tier=easy moves=4 avg=12 min=10 conc=0.49
MEET,MATS  # score=5 tier=easy moves=4 avg=15.6 min=10 conc=0.44
MEET,HALL  # score=5 tier=easy moves=4 avg=14.4 min=10 conc=0.45
MEET,STAY  # score=5 tier=easy moves=4 avg=13.8 min=10 conc=0.5
MEET,SCAM  # score=5 tier=easy moves=4 avg=14.4 min=10 conc=0.49
MEET,MAKE  # score=5 tier=easy moves=4 avg=16.8 min=10 conc=0.45
MELT,EASE  # score=5 tier=easy moves=4 avg=14.2 min=10 conc=0.53
MELT,FADE  # score=5 tier=easy moves=4 avg=17.8 min=12 conc=0.42
MELT,HARE  # score=5 tier=easy moves=4 avg=17.4 min=12 conc=0.39
MELT,GAME  # score=5 tier=easy moves=4 avg=19 min=12 conc=0.43
MELT,RARE  # score=5 tier=easy moves=4 avg=18.2 min=12 conc=0.42
MELT,DATE  # score=5 tier=easy moves=4 avg=17 min=12 conc=0.41
MELT,DARE  # score=5 tier=easy moves=4 avg=16.6 min=12 conc=0.43
MELT,FLAW  # score=5 tier=easy moves=4 avg=13.4 min=9 conc=0.56
MELT,BALD  # score=5 tier=easy moves=4 avg=14 min=11 conc=0.45
MELT,EATS  # score=5 tier=easy moves=4 avg=17.2 min=12 conc=0.49
MELT,CAKE  # score=5 tier=easy moves=4 avg=19.4 min=12 conc=0.41
MELT,BAND  # score=5 tier=easy moves=4 avg=16.6 min=13 conc=0.45
MELT,MANS  # score=5 tier=easy moves=4 avg=19.4 min=12 conc=0.4
MELT,LAKE  # score=5 tier=easy moves=4 avg=19.2 min=12 conc=0.42
MELT,CARS  # score=5 tier=easy moves=4 avg=18.6 min=12 conc=0.41
MELT,TAKE  # score=5 tier=easy moves=4 avg=19.6 min=12 conc=0.42
MELT,SAGE  # score=5 tier=easy moves=4 avg=15.4 min=7 conc=0.45
MELT,DAME  # score=5 tier=easy moves=4 avg=18.2 min=12 conc=0.45
MELT,GAPE  # score=5 tier=easy moves=4 avg=17.4 min=12 conc=0.44
MERE,BAND  # score=5 tier=easy moves=4 avg=22.4 min=14 conc=0.37
MERE,WOOD  # score=5 tier=easy moves=4 avg=14.2 min=10 conc=0.49
MERE,HALT  # score=5 tier=easy moves=4 avg=19 min=14 conc=0.42
MERE,RODS  # score=5 tier=easy moves=4 avg=18.8 min=14 conc=0.46
MERE,BANG  # score=5 tier=easy moves=4 avg=22.4 min=14 conc=0.44
MERE,RAGS  # score=5 tier=easy moves=4 avg=20.8 min=14 conc=0.47
MERE,LABS  # score=5 tier=easy moves=4 avg=23.4 min=14 conc=0.42
MERE,HAND  # score=5 tier=easy moves=4 avg=17 min=11 conc=0.44
MERE,LAWS  # score=5 tier=easy moves=4 avg=24 min=14 conc=0.42
MERE,GODS  # score=5 tier=easy moves=4 avg=20.8 min=14 conc=0.48
MERE,LAYS  # score=5 tier=easy moves=4 avg=24.4 min=14 conc=0.43
MERE,HALF  # score=5 tier=easy moves=4 avg=17.4 min=7 conc=0.48
MERE,WING  # score=5 tier=easy moves=4 avg=17 min=10 conc=0.49
MERE,HATS  # score=5 tier=easy moves=4 avg=21 min=14 conc=0.46
MERE,BACK  # score=5 tier=easy moves=4 avg=21.4 min=14 conc=0.43
MESS,DATE  # score=5 tier=easy moves=4 avg=22.6 min=14 conc=0.45
MESS,TONE  # score=5 tier=easy moves=4 avg=22.2 min=14 conc=0.43
MESS,WARD  # score=5 tier=easy moves=4 avg=22.2 min=14 conc=0.41
MESS,BARN  # score=5 tier=easy moves=4 avg=20.4 min=14 conc=0.42
MESS,GAPE  # score=5 tier=easy moves=4 avg=20.4 min=14 conc=0.48
MESS,BARD  # score=5 tier=easy moves=4 avg=21.6 min=14 conc=0.42
MESS,DART  # score=5 tier=easy moves=4 avg=19.6 min=14 conc=0.43
MESS,FARE  # score=5 tier=easy moves=4 avg=23.6 min=14 conc=0.39
MESS,CARR  # score=5 tier=easy moves=4 avg=20.8 min=11 conc=0.48
MESS,HALT  # score=5 tier=easy moves=4 avg=18.8 min=14 conc=0.45
MESS,CARL  # score=5 tier=easy moves=4 avg=22 min=14 conc=0.42
MESS,BAKE  # score=5 tier=easy moves=4 avg=18.6 min=14 conc=0.45
MESS,BARB  # score=5 tier=easy moves=4 avg=19.2 min=10 conc=0.47
MESS,WARE  # score=5 tier=easy moves=4 avg=24 min=14 conc=0.39
MESS,BANK  # score=5 tier=easy moves=4 avg=20.4 min=14 conc=0.41
MESS,WART  # score=5 tier=easy moves=4 avg=23 min=14 conc=0.39
META,BASH  # score=5 tier=easy moves=4 avg=11.4 min=7 conc=0.54
METH,PITS  # score=5 tier=easy moves=4 avg=18 min=7 conc=0.44
METH,BARS  # score=5 tier=easy moves=4 avg=18.2 min=7 conc=0.42
METH,BEEF  # score=5 tier=easy moves=4 avg=14.4 min=7 conc=0.5
METH,NUTS  # score=5 tier=easy moves=4 avg=14.4 min=7 conc=0.53
METH,BANS  # score=5 tier=easy moves=4 avg=17.8 min=7 conc=0.42
METH,BABE  # score=5 tier=easy moves=4 avg=13.4 min=7 conc=0.45
METH,BAGS  # score=5 tier=easy moves=4 avg=17.8 min=7 conc=0.44
METH,CART  # score=5 tier=easy moves=4 avg=14.8 min=9 conc=0.41
METH,PUTS  # score=5 tier=easy moves=4 avg=17.8 min=7 conc=0.43
METH,TALE  # score=5 tier=easy moves=4 avg=19.2 min=9 conc=0.44
METH,LACK  # score=5 tier=easy moves=4 avg=13.8 min=9 conc=0.45
METH,BARE  # score=5 tier=easy moves=4 avg=16 min=7 conc=0.42
METH,GEMS  # score=5 tier=easy moves=4 avg=14.6 min=7 conc=0.45
METH,TAPE  # score=5 tier=easy moves=4 avg=17 min=9 conc=0.44
MICK,TEAK  # score=5 tier=easy moves=4 avg=14.6 min=9 conc=0.51
MICK,OATH  # score=5 tier=easy moves=4 avg=13.4 min=8 conc=0.55
MICK,SOLE  # score=5 tier=easy moves=4 avg=19.6 min=11 conc=0.45
MICK,METH  # score=5 tier=easy moves=4 avg=13.6 min=9 conc=0.44
MICK,FOLD  # score=5 tier=easy moves=4 avg=13.8 min=11 conc=0.54
MICK,COLE  # score=5 tier=easy moves=4 avg=20.2 min=11 conc=0.44
MICK,PANE  # score=5 tier=easy moves=4 avg=19.2 min=17 conc=0.48
MIKE,CARD  # score=5 tier=easy moves=4 avg=23.2 min=17 conc=0.42
MIKE,LOFT  # score=5 tier=easy moves=4 avg=12.4 min=8 conc=0.46
MIKE,BOTS  # score=5 tier=easy moves=4 avg=21.2 min=16 conc=0.47
MIKE,CARB  # score=5 tier=easy moves=4 avg=21.6 min=13 conc=0.47
MIKE,PITS  # score=5 tier=easy moves=4 avg=20.6 min=16 conc=0.48
MIKE,CARS  # score=5 tier=easy moves=4 avg=24.8 min=17 conc=0.41
MIKE,WART  # score=5 tier=easy moves=4 avg=21.6 min=17 conc=0.44
MIKE,BARD  # score=5 tier=easy moves=4 avg=19.8 min=16 conc=0.46
MIKE,WARS  # score=5 tier=easy moves=4 avg=22.6 min=17 conc=0.45
MIKE,PENS  # score=5 tier=easy moves=4 avg=22.8 min=17 conc=0.47
MILD,LAND  # score=5 tier=easy moves=4 avg=12.6 min=10 conc=0.42
MILD,TALK  # score=5 tier=easy moves=4 avg=18.2 min=11 conc=0.41
MILD,LAME  # score=5 tier=easy moves=4 avg=17.6 min=12 conc=0.44
MILD,ROSE  # score=5 tier=easy moves=4 avg=18.8 min=12 conc=0.45
MILD,GATE  # score=5 tier=easy moves=4 avg=20.2 min=12 conc=0.47
MILD,CORN  # score=5 tier=easy moves=4 avg=15.2 min=12 conc=0.46
MILD,COON  # score=5 tier=easy moves=4 avg=16 min=12 conc=0.48
MILD,HOST  # score=5 tier=easy moves=4 avg=15.4 min=12 conc=0.47
MILD,LIMO  # score=5 tier=easy moves=4 avg=14.6 min=8 conc=0.51
MILD,POSE  # score=5 tier=easy moves=4 avg=19 min=12 conc=0.43
MILD,TAPE  # score=5 tier=easy moves=4 avg=19 min=12 conc=0.4
MILD,SAND  # score=5 tier=easy moves=4 avg=12.6 min=10 conc=0.42
MILD,BANE  # score=5 tier=easy moves=4 avg=16.8 min=12 conc=0.41
MILD,BONE  # score=5 tier=easy moves=4 avg=15.2 min=12 conc=0.47
MILD,FAKE  # score=5 tier=easy moves=4 avg=20.4 min=12 conc=0.44
MILE,FORM  # score=5 tier=easy moves=4 avg=18.6 min=13 conc=0.43
MILE,RING  # score=5 tier=easy moves=4 avg=19 min=13 conc=0.46
MILE,COMB  # score=5 tier=easy moves=4 avg=20 min=7 conc=0.39
MILE,COST  # score=5 tier=easy moves=4 avg=21.4 min=17 conc=0.37
MILE,POST  # score=5 tier=easy moves=4 avg=19.2 min=15 conc=0.39
MILE,TEAL  # score=5 tier=easy moves=4 avg=17.4 min=9 conc=0.46
MILE,COTS  # score=5 tier=easy moves=4 avg=23.4 min=19 conc=0.4
MILE,FARM  # score=5 tier=easy moves=4 avg=19 min=10 conc=0.4
MILE,LOWE  # score=5 tier=easy moves=4 avg=20 min=12 conc=0.46
MILE,BUST  # score=5 tier=easy moves=4 avg=14.6 min=10 conc=0.41
MILE,GODS  # score=5 tier=easy moves=4 avg=22.4 min=16 conc=0.44
MILE,DUST  # score=5 tier=easy moves=4 avg=14.4 min=10 conc=0.41
MILE,LARS  # score=5 tier=easy moves=4 avg=26 min=23 conc=0.38
MILE,HAUL  # score=5 tier=easy moves=4 avg=20.4 min=8 conc=0.43
MILE,PIMP  # score=5 tier=easy moves=4 avg=15 min=8 conc=0.47
MILE,CONN  # score=5 tier=easy moves=4 avg=21.2 min=8 conc=0.43
MILE,COPS  # score=5 tier=easy moves=4 avg=23.8 min=20 conc=0.39
MILE,HARD  # score=5 tier=easy moves=4 avg=23.2 min=18 conc=0.42
MILE,DAMS  # score=5 tier=easy moves=4 avg=22.4 min=19 conc=0.44
MILE,CARB  # score=5 tier=easy moves=4 avg=24.6 min=13 conc=0.42
MILK,LATE  # score=5 tier=easy moves=4 avg=22.2 min=11 conc=0.43
MILK,SOME  # score=5 tier=easy moves=4 avg=19 min=11 conc=0.44
MILK,FORD  # score=5 tier=easy moves=4 avg=13.2 min=11 conc=0.52
MILK,HOME  # score=5 tier=easy moves=4 avg=20.8 min=11 conc=0.4
MILK,FOOD  # score=5 tier=easy moves=4 avg=12.8 min=11 conc=0.54
MILK,SAGE  # score=5 tier=easy moves=4 avg=20.8 min=11 conc=0.44
MILK,PAGE  # score=5 tier=easy moves=4 avg=18.4 min=11 conc=0.44
MILK,SAME  # score=5 tier=easy moves=4 avg=21.4 min=11 conc=0.43
MILK,DAME  # score=5 tier=easy moves=4 avg=19.8 min=11 conc=0.47
MILK,SONG  # score=5 tier=easy moves=4 avg=13.2 min=9 conc=0.54
MILK,GAPE  # score=5 tier=easy moves=4 avg=19 min=11 conc=0.46
MILK,CUTE  # score=5 tier=easy moves=4 avg=14 min=11 conc=0.37
MILL,LONE  # score=5 tier=easy moves=4 avg=25.2 min=22 conc=0.45
MILL,MATH  # score=5 tier=easy moves=4 avg=22.8 min=15 conc=0.48
MILL,DUNE  # score=5 tier=easy moves=4 avg=23.4 min=16 conc=0.43
MILL,LAKE  # score=5 tier=easy moves=4 avg=23.2 min=20 conc=0.49
MIME,LOFT  # score=5 tier=easy moves=4 avg=11.6 min=8 conc=0.46
MIME,PUMP  # score=5 tier=easy moves=4 avg=13 min=8 conc=0.54
MIME,DART  # score=5 tier=easy moves=4 avg=17 min=12 conc=0.49
MIME,PENS  # score=5 tier=easy moves=4 avg=23.6 min=12 conc=0.49
MIME,HUNT  # score=5 tier=easy moves=4 avg=16.2 min=12 conc=0.46
MIME,RAMP  # score=5 tier=easy moves=4 avg=13.6 min=10 conc=0.56
MIME,DONG  # score=5 tier=easy moves=4 avg=17 min=12 conc=0.48
MIME,SAND  # score=5 tier=easy moves=4 avg=21 min=12 conc=0.46
